ACCURL,ACCTEXT,ACCTEXTW,ACCTYPE
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institute of Building Services Engineers (CIBSE) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer.,Achrededig gan Sefydliad Siartredig Peirianwyr Gwasanaethau Adeiladu (CIBSE) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig.,04003
http://www.cices.org/courses.html,Accredited by the Chartered Institution of Civil Engineering Surveyors (CICES) for the purpose of eligibility to apply for Graduate Membership.,Achrededig gan Sefydliad Siartredig Syrfewyr Peirianneg Sifil (CICES) at bwrpas cymhwysedd i wneud cais am Aelodaeth Rraddedig,14401
http://www.ciwm.co.uk/CIWM/Membership/ClassesAndFees/Classes_of_membership.aspx,Accredited by the Chartered Institution of Wastes Management (CIWM) for the purpose of eligibility to apply for Graduate level membership.,Achrededig gan Sefydliad Siartredig Rheoli Gwastraff (CIWM) at bwrpas cymhwysedd i wneud cais am aelodaeth lefel Raddedig.,04101
http://www.managers.org.uk/education-providers/higher-education-partners,Accredited by the Chartered Management Institute (CMI).,Achrededig gan Sefydliad Rheoli Siartredig (CMI),04401
https://www.csd.org.uk/education/course-endorsement-programme/accreditation/,Accredited by the Chartered Society of Designers (CSD) the professional body for design with free student membership and leading to Associate Membership (Assoc. CSD).,Achrededig gan Gymdeithas Siartredig Dylunio (CSD) y corff proffesiynol ar gyfer dylunio gydag aelodaeth myfyriwr am ddim ac yn arwain at Aelodaeth Gyswllt (Assoc. CSD).,04501
http://www.csp.org.uk/professional-union/careers-development/career-development/courses/endorsed,Accredited by the Chartered Society of Physiotherapy (CSP).,Hachredu gan y Gymdeithas Siartredig Ffisiotherapi (CSP).,04601
http://www.churchofscotland.org.uk,Accredited by the Church of Scotland.,Achrededig gan Eglwys yr Alban.,15401
http://www.codp.org.uk/signup.php,Accredited by the College of Operating Department Practitioners (CODP).,Achrededig gan Goleg Ymarferwyr Adran Lawfeddygol (CODP).,04701
http://courses.creativeskillset.org/pick_the_tick_degree_courses,"This course is recognised by Creative Skillset, Sector Skills Council and carries the Creative Skillset Tick for the purposes of indicating courses best suited to prepare for a Creative Industries career.","Mae'r cwrs hwn wedi'i gydnabod gan Creative Skillset, y Cyngor Sgiliau Sector, ac mae ganddo Tic Creative Skillset at ddibenion nodi cyrsiau sydd fwyaf addas i baratoi ar gyfer gyrfa yn y Diwydiannau Creadigol.",13101
http://www.imarest.org/Membership/Accreditation.aspx,"Accredited by the Institute of Marine Engineering, Science and Technology (IMarEST) for the purposes of fully meeting the academic requirement for registration as a Registered Marine Scientist and on behalf of the Science Council and IMarEST as partially meeting the academic requirement for registration as a Chartered Scientist and Chartered Marine Scientist.","Achrededig gan Sefydliad Peirianneg, Gwyddoniaeth a Thechnoleg Forol (IMarEST) at bwrpas cwrdd yn rhannol â'r gofyniad addysgol ar gyfer Peiriannydd Corfforedig a Thechnegydd Peiriannydd Morol.",08405
http://www.imarest.org/Membership/Accreditation.aspx,"Accredited by the Institute of Marine Engineering, Science and Technology (IMarEST) for the purpose of partially meeting the educational requirement for Chartered Scientist, Chartered Marine Scientist and Marine Technologist.","Hachredu gan y Sefydliad Peirianneg Forol, Gwyddoniaeth a Thechnoleg (IMarEST) at ddibenion rhannol bodloni'r gofyniad addysgol ar gyfer Gwyddonydd Siartredig, Gwyddonydd Morol Siartredig a Morol Technolegydd.",08407
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,"Accredited by the Institute of Materials, Minerals and Mining (IOM3) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as a Chartered Engineer.","Achrededig gan y Sefydliad Deunyddiau, Mwynau a Mwyngloddio (IOM3) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Siartredig",08501
http://www.ima.org.uk/activities/education/university_degree_programme_accreditation.cfm,This programme is accredited to meet the educational requirements of the Chartered Mathematician designation awarded by the Institute of Mathematics and its Applications.,Mae'r rhaglen hon wedi'i hachredu i gwrdd â gofynion addysgol y dynodiad Mathemategydd Siartredig a ddyfarnwyd gan y Sefydliad Mathemateg a'i Chymwysiadau.,08601
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Institute of Highway Engineers (IHE) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer.,Achrededig gan Sefydliad Peirianwyr Priffordd (IHE) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig.,08103
http://ihbc.org.uk/learning/page35/index.html,Recognised by the Institute of Historic Building Conservation (IHBC) for the purpose of fully meeting the educational requirement for full membership.,Cydnabuwyd gan Sefydliad Cadwraeth Adeiladau Hanesyddol (IHBC) at bwrpas cwrdd yn llawn â'r gofyniad addysgol ar gyfer aelodaeth lawn.,08201
https://www.instituteofhospitality.org/accreditation/Accred/accredited_programmes,"Accredited by the Institute of Hospitality that academic, vocational and professional standards achieved are appropriate and programme content and delivery meet international Institute of Hospitality benchmark standards.","Achrededig gan Sefydliad Lletygarwch (IoH) bod safonau academaidd, galwedigaethol a phroffesiynol a gyflawnwyd yn briodol a bod cynnwys a chyflawniad y rhaglen yn cwrdd â safonau rhyngwladol yr IoH",08301
https://www.i-l-m.com/default.aspx,Accredited by the Institute of Leadership and Management (ILM).,Sefydliad Arweinyddiaeth a Rheolaeth.,17401
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,"Accredited by the Institute of Marine Engineering, Science and Technology (IMarEST) on behalf of the Engineering Council and IMarEST for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer and Incorporated Marine Engineer and on behalf of the Engineering Council and IMarEST as partially meeting the academic requirement for registration as a Chartered Engineer and Chartered Marine Engineer.","Achrededig gan Sefydliad Peirianneg, Gwyddoniaeth a Thechnoleg Forol (IMarEST) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig a chwrdd yn rhannol â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.",08403
http://www.imarest.org/Membership/Accreditation.aspx,"Accredited by the Institute of Marine Engineering, Science and Technology (IMarEST) for the purposes of fully meeting the academic requirement for registration as a Registered Marine Technologist and as partially meeting the academic requirement for registration as a Chartered Marine Technologist.","Hachredu gan y Sefydliad Peirianneg Forol, Gwyddoniaeth a Thechnoleg (IMarEST) at ddibenion rhannol bodloni'r gofyniad addysgol ar gyfer Gwyddonydd Siartredig a Gwyddonydd Morol Siartredig.",08406
http://www.imarest.org/Membership/Accreditation.aspx,"Accredited by the Institute of Marine Engineering, Science and Technology (IMarEST) for the purpose of partially meeting the educational requirement for Marine Technologist.","Hachredu gan y Sefydliad Peirianneg Forol, Gwyddoniaeth a Thechnoleg (IMarEST) at ddibenion rhannol bodloni'r gofyniad addysgol ar gyfer Môr Technolegydd.",08408
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,"Accredited by the Institute of Materials, Minerals and Mining (IOM3) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer and partially meeting the academic requirement for registration as a Chartered Engineer.","Achrededig gan y Sefydliad Deunyddiau, Mwynau a Mwyngloddio (IOM3) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig a chwrdd yn rhannol ar gyfer y gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.",08502
http://www.hcpc-uk.org/education/programmes/,Approved by the Health and Care Professions Council (HCPC) for the purpose of providing eligibility to apply for registration with the HCPC as an occupational therapist.,Cymeradwywyd gan y Cyngor Proffesiynau Iechyd a Gofal (HCPC) ar gyfer y diben o ddarparu cymhwyster i wneud cais i gofrestru gyda'r HCPC fel therapydd galwedigaethol.,06906
http://www.hcpc-uk.org/education/programmes/,Approved by the Health and Care Professions Council (HCPC) for the purpose of providing eligibility to apply for registration with the HCPC as an orthoptist.,Cymeradwywyd gan y Cyngor Proffesiynau Iechyd a Gofal (HCPC) ar gyfer y diben o ddarparu cymhwyster i wneud cais i gofrestru gyda'r HCPC fel orthoptydd.,06908
http://www.associationfornutrition.org/default.aspx?tabid=74,Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,Achrededig gan Gymdeithas er Maeth (AfN) at bwrpas cymhwysedd ar gyfer Cofrestriad Mynediad Uniongyrchol ar Lefel Gysylltiedig gyda Chofrestr Wirfoddol Maethegwyr y DU (UKVRN).,00301
http://asab.nottingham.ac.uk/accred/index.php,Accredited by the Association for the Study of Animal Behaviour (ASAB) for the purpose of fulfilling the educational requirements for certification.,Achrededig gan Gymdeithas ar gyfer Astudio Ymddygiad Anifeiliaid (ASAB) at bwrpas cyflawni gofynion addysgol ar gyfer ardystiad.,16301
http://www.cbuilde.com/learning/accredited-universities/,Accredited by the Chartered Association of Building Engineers (CABE).,Hachredu gan y Gymdeithas Siartredig y Peirianwyr Adeiladu (CABE).,14101
http://www.accaglobal.com/en/qualifications/apply-now/exemptions.html,Accredited by the Association of Chartered Certified Accountants (ACCA) for the purpose of exemptions from some professional examinations.,Achrededig gan Gymdeithas Cyfrifyddion Siartredig Ardystiedig (ACCA) at bwrpas eithriadau rhag rhai arholiadau proffesiynol.,00601
http://www.aiaworldwide.com/qualifications/exemptions-1.html,Accredited by the Association of International Accountants (AIA) for the purpose of exemption from some professional examinations.,Achrededig gan Gymdeithas Cyfrifwyr Rhyngwladol (AIA) at bwrpas eithrio rhag rhai arholiadau proffesiynol.,00701
http://www.aacsb.edu/aacsb-Accredited/students/,Accredited by the Association to Advance Collegiate Schools of Business (AACSB).,Achrededig gan Gymdeithas Hyrwyddo Ysgolion Colegol Busnes (AACSB),00901
http://www.bcs.org/accredited,"Accredited by BCS, the Chartered Institute for IT for the purposes of fully meeting the further learning academic requirement for registration as a Chartered IT Professional.","Achredir gan BCS, Sefydliad Siartredig TG at ddibenion llawn cwrdd â'r gofynion academaidd ar ddysgu pellach ar gyfer cofrestru fel TG Proffesiynol Siartredig.",01102
http://www.bcs.org/accredited,"Accredited by BCS, the Chartered Institute for IT on behalf of the Science Council for the purposes of fully meeting the academic requirement for registration as a Chartered Scientist.","Cydnabuwyd gan BCS, y Sefydliad Siartredig ar gyfer TG ar ran y Cyngor Gwyddoniaeth at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Gwyddonydd Siartredig.",01106
http://www.bcs.org/accredited,"Accredited by BCS, the Chartered Institute for IT on behalf of the Science Council for the purposes of partially meeting the academic requirement for registration as a Chartered Scientist.","Cydnabuwyd gan BCS, y Sefydliad Siartredig ar gyfer TG ar ran y Cyngor Gwyddoniaeth at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Gwyddonydd Siartredig.",01107
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,"Accredited by BCS, the Chartered Institute for IT on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer.","Achredir gan BCS, Sefydliad Siartredig TG ar ran y Cyngor Peirianneg at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig.",01108
http://www.bqsm.gov.my/index.php?option=com_content&view=article&id=106&Itemid=455&lang=en,Accredited by the Board of Quantity Surveyors Malaysia (BQSM) for the purpose of eligibility for registration with that body.,Achrededig gan Fwrdd Syrfewyr Meintiau Malaysia (BQSM) at bwrpas cymhwysedd ar gyfer cofrestru gyda'r corff hwnnw.,01201
http://baab.co.uk/study-acupuncture/Accredited-courses.html,Accredited by the British Acupuncture Accreditation Board (BAAB) for the purpose of British Acupuncture Council (BAcC) membership.,Achrededig gan Fwrdd Prydeinig Achredu Aciwbigo (BAAB) at bwrpas aelodaeth o Fwrdd Aciwbigo Prydain (BacC).,01301
http://www.bacp.co.uk/accreditation/,Accredited by the British Association for Counselling and Psychotherapy (BACP).,Achrededig gan Gymdeithas Cynghori a Seicotherapi Prydain (BACP),01401
http://www.baleap.org.uk/accreditation/scheme,Accredited by the British Association of Lecturers in English for Academic Purposes (BALEAP).,Achrededig gan Gymdeithas Darlithwyr yn Saesneg at Bwrpasau Academaidd Prydain (BALEAP),01601
http://www.scpod.org/,"Graduates of accredited programmes in Podiatry or Podiatric Medicine are deemed to be fit for the profession of podiatry. They may join the Society of Chiropodists and Podiatrists and, upon acceptance, will have the right to use the post-nominal letters: MChS.","Ystyrir Graddedigion o raglenni achrededig yn Podiatreg neu Feddygaeth Podiatreg cael eu addas ar gyfer y proffesiwn podiatreg. Efallai y byddant yn ymuno â'r Gymdeithas y Ciropodyddion a'r Podiatryddion ac, ar dderbyn, bydd yn rhaid i'r hawl i ddefnyddio'r llythrennau ôl-enwol: MChS.",18201
http://www.ima.org.uk/activities/education/university_degree_programme_accreditation.cfm,"This programme will meet the educational requirements of the Chartered Mathematician designation, awarded by the Institute of Mathematics and its Applications, when it is followed by subsequent training and experience in employment to obtain equivalent competences to those specified by the Quality Assurance Agency (QAA) for taught masters degrees.","Bydd y rhaglen hon yn bodloni gofynion addysgol y dynodiad Mathemategydd Siartredig, a ddyfarnwyd gan y Sefydliad Mathemateg a'i Chymwysiadau, pan fydd yn cael ei ddilyn gan hyfforddiant dilynol a phrofiad mewn gwaith i gael cymwyseddau sy'n cyfateb i'r rhai a nodir gan yr Asiantaeth Sicrhau Ansawdd (QAA) ar gyfer graddau meistr a addysgir.",08602
http://www.hcpc-uk.org/education/programmes/,Approved by the Health and Care Professions Council (HCPC) for the purpose of providing eligibility to apply for registration with the HCPC as a paramedic.,Cymeradwywyd gan y Cyngor Proffesiynau Iechyd a Gofal (HCPC) ar gyfer y diben o ddarparu cymhwyster i wneud cais i gofrestru gyda'r HCPC fel parafeddyg.,06909
http://www.hcpc-uk.org/education/programmes/,Approved by the Health and Care Professions Council (HCPC) for the purpose of providing eligibility to apply for registration with the HCPC as a practitioner psychologist.,Cymeradwywyd gan y Cyngor Proffesiynau Iechyd a Gofal (HCPC) ar gyfer y diben o ddarparu cymhwyster i wneud cais i gofrestru gyda'r HCPC fel seicolegydd.,06911
http://www.hcpc-uk.org/education/programmes/,Approved by the Health and Care Professions Council (HCPC) for the purpose of providing eligibility to apply for registration with the HCPC as a radiographer.,Cymeradwywyd gan y Cyngor Proffesiynau Iechyd a Gofal (HCPC) ar gyfer y diben o ddarparu cymhwyster i wneud cais i gofrestru gyda'r HCPC fel radiograffydd.,06913
http://www.hcpc-uk.org/education/programmes/,Approved by the Health and Care Professions Council (HCPC) for the purpose of providing eligibility to apply for registration with the HCPC as a social worker in England.,Cymeradwywyd gan y Cyngor Proffesiynau Iechyd a Gofal (HCPC) ar gyfer y diben o ddarparu cymhwyster i wneud cais i gofrestru gyda'r HCPC fel gweithiwr cymdeithasol yn Lloegr.,06914
http://www.heacademy.ac.uk/professional-recognition,Accredited by the Higher Education Academy (HEA) for the purpose of professional recognition.,Achrededig gan Academi Addysg Uwch (AAU) at bwrpas cydnabyddiaeth broffesiynol.,07101
https://www.actuaries.org.uk/studying/exam-exemptions/how-apply-exemption/university-courses-exemptions ,Accredited by the Institute and Faculty of Actuaries for the purpose of exemption from some professional examinations.,Hachredu gan y Sefydliad a Chyfadran yr Actiwarïaid at y diben o eithrio o rai arholiadau proffesiynol.,07201
www.ioa.org.uk/membership/application-process,Accredited by the Institute of Acoustics (IOA) for the purpose of eligibility to apply for Associate membership.,Achrededig gan Sefydliad Acwsteg (IOA) at bwrpas cymhwysedd i wneud cais am lefel Aelodaeth gyswllt.,17201
https://www.ibd.org.uk/,Accredited by the Institute of Brewing and Distilling (IBD).,"Achrededig gan Sefydliad Bragu a Distyllu, y (IBD)",15601
http://www.icg-uk.org/Home,Awarded by the Institute of Career Guidance (ICG).,Dyfarnwyd gan Sefydliad Arweiniad Gyrfaoedd.,07401
http://icas.org.uk/becomeaca/ICAS_Accredited_degrees/,Accredited by the Institute of Chartered Accountants Scotland (ICAS) for the purpose of exemption from some professional examinations.,Achrededig gan Sefydliad Cyfrifwyr Siartredig yn yr Alban (ICAS) at bwrpas eithrio rhag rhai arholiadau proffesiynol.,07601
http://www.charteredforesters.org,Recognised by the Institute of Chartered Foresters (ICF).,Cydnabuwyd gan Sefydliad Fforestwyr Siartredig (ICF),07701
http://www.icsaglobal.com/join-us/study-to-be-a-chartered-secretary/the-qualifying-scheme#.UJk4zLExp0o,Accredited by the Institute of Chartered Secretaries and Administrators (ICSA) for the purpose of exemptions from some professional examinations.,Achrededig gan Sefydliad Ysgrifenyddion a Gweinyddwyr Siartredig (ICSA) at bwrpas eithrio rhag rhai arholiadau proffesiynol.,07801
http://www.ics.org.uk/learning/choosing-your-qualifications,Accredited by the Institute of Chartered Shipbrokers (ICS).,Achrededig gan Sefydliad Broceriaid Llongau Siartredig (ICS),14601
http://www.chemistryireland.org/html/categories.html,Recognised by the Institute of Chemistry in Ireland for the purpose of eligibility to apply for Graduate Membership.,Cydnabuwyd gan Sefydliad Cemeg Iwerddon at bwrpas cymhwysedd i wneud cais am Aelodaeth Raddedig.,14701
http://www.ergonomics.org.uk/,"Process described at: http://www.ergonomics.org.uk/learning/degree-courses/degree-course-accreditation/. Assessment is undertaken by two assessors, overseen by the Chair of the Education and Training Panel.","Achrededig gan Sefydliad Ergonomeg a Ffactorau Dynol, y (IEHF)",15701
http://www.financialplanning.org.uk/general-public,Accredited by the Institute of Financial Planners (IFP).,Achrededig gan Sefydliad Cynllunio Ariannol (IFP).,17301
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Institute of Highway Engineers (IHE) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as a Chartered Engineer.,Hachredu gan y Sefydliad y Peirianwyr Priffyrdd (IHE) ar ran y Cyngor Peirianneg at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,08101
https://www.avma.org/ProfessionalDevelopment/Education/Accreditation/Colleges/Pages/default.aspx,Accredited by the American Veterinary Medical Association (AVMA).,Achrededig gan y Gymdeithas Filfeddygol America (AVMA).,14001
http://www.arb.org.uk/student,Prescribed by the Architects Registration Board (ARB) at Part 2 level for the purpose of registration in the UK.,Ragnodir gan y Bwrdd Cofrestru Penseiri (ARB) yn Rhan o 2 lefel ar gyfer y diben o gofrestru yn y UK.,00103
http://www.arb.org.uk/student,Prescribed by the Architects Registration Board (ARB) at Part 3 level for the purpose of registration in the UK.,Ragnodir gan y Bwrdd Cofrestru Penseiri (ARB) yn Rhan o 3 lefel ar gyfer y diben o gofrestru yn y UK.,00104
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Institute of Measurement and Control (InstMC) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as a Chartered Engineer.,Hachredu gan y Sefydliad Mesur a Rheoli (InstMC) ar ran y Cyngor Peirianneg at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,08701
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Institute of Measurement and Control (InstMC) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer.,Achrededig gan Sefydliad Mesur a Rheoli (InstMC) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig.,08703
http://www.dramauk.co.uk/quality-assurance,Recognised by Drama UK.,Cydnabuwyd gan Ddrama DU.,10702
http://www.etswales.org.uk/index.cfm?articleid=5142,Endorsed by the Education and Training Standards Committee Wales (JNC Recognised) for the purpose of professional qualification.,Cefnogwyd gan Bwyllgor Safonau Addysg a Hyfforddiant Cymru at bwrpas cymhwyster proffesiynol.,17001
http://www.educationscotland.gov.uk/about/index.asp,Accredited by Education Scotland.,Achrededig gan Addysg yr Alban,07001
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Energy Institute (EI) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as a Chartered Engineer.,Hachredu gan y Sefydliad Ynni (EI) ar ran y Cyngor Peirianneg at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,05101
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Energy Institute (EI) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer and partially meeting the academic requirement for registration as a Chartered Engineer.,Achrededig gan Sefydliad Ynni (EI) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig a chwrdd yn rhannol â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,05102
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Energy Institute (EI) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer.,Achrededig gan Sefydliad Ynni (EI) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig.,05103
http://www.efmd.org/accreditation-main/epas,Accredited by the EPAS (EFMD Programme Accreditation System).,Achrededig gan EPAS Achrededig gan System Achredu Rhaglen EFMD.,17101
http://www.efmd.org/index.php/accreditation-main/equis/equis-governance,Accredited by the EFMD Quality Improvement System.,Wedi'i achredu gan System Gwella Ansawdd Sefydliad Ewropeaidd er Datblygu Rheolaeth (EFMD).,05501
http://www.gcc-uk.org/page.cfm?page_id=1775,Recognised by the General Chiropractic Council (GCC) for the purpose of eligibility for registration with that body.,Cydnabuwyd gan Gyngor Ciropracteg Cyffredinol (GCC) at bwrpas cymhwysedd ar gyfer cofrestru gyda'r corff hwnnw.,05701
http://www.gdc-uk.org/Dentalprofessionals/Education/Pages/default.aspx,Found to be sufficient by the General Dental Council (GDC) for the purpose of eligibility for registration with that body.,Wedi dod o hyd i fod yn ddigonol gan y Cyngor Deintyddol Cyffredinol (GDC) at ddibenion cymhwyster ar gyfer cofrestru gyda'r corff hwnnw.,05802
http://www.osteopathy.org.uk/practice/becoming-an-osteopath/training-courses/,Approved by the General Osteopathic Council (GOC) for the purpose of eligibility to apply for registration with that body.,Cymeradwywyd gan y Cyngor Osteopathig Cyffredinol (GOC) at ddibenion bod yn gymwys i wneud cais i gofrestru gyda'r corff hwnnw.,06101
http://www.gtcni.org.uk//index.cfm/area/information/page/RegInformation,Initial teacher education programmes in Northern Ireland B.Ed. degrees and post- graduate PGCEs for the purposes of registration with the Council all of which must be compliant with DE Circular 2007/22.,Rhaglenni addysg gychwynnol athrawon yn Iwerddon B.Ed. Gogledd graddau a TAR ôl-raddedig at ddibenion cofrestru gyda'r Cyngor i gyd y mae'n rhaid cydymffurfio â Chylchlythyr DE 2007/22.,06501
http://www.gtcs.org.uk/education-in-scotland/universities.aspx,Accredited by the General Teaching Council for Scotland (GTCS).,Achrededig gan Gyngor Dysgu Cyffredinol yr Alban (GTCS),06601
http://www.hcpc-uk.org/education/programmes/,Approved by the Health and Care Professions Council (HCPC) for the purpose of providing eligibility to apply for registration with the HCPC as a hearing aid dispenser.,Cymeradwywyd gan y Cyngor Proffesiynau Iechyd a Gofal (HCPC) ar gyfer y diben o ddarparu cymhwyster i wneud cais i gofrestru gyda'r HCPC fel dosbarthydd cymorth clyw.,06905
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institute of Building Services Engineers (CIBSE) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer and partially meeting the academic requirement for registration as a Chartered Engineer.,Achrededig gan Sefydliad Siartredig Peirianwyr Gwasanaethau Adeiladu (CIBSE)ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig a chwrdd yn rhannol â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,04002
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,"Accredited by the Institute of Marine Engineering, Science and Technology (IMarEST) on behalf of the Engineering Council and the IMarEST for the purposes of fully meeting the academic requirement for registration as a Chartered Engineer and Chartered Marine Engineer.","Achredir gan Sefydliad Peirianneg Forol, Gwyddoniaeth a Thechnoleg (IMarEST) ar ran y Cyngor Peirianneg at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.",08402
